f1,f2,f3,f4,c0,c1,c2
-0.90068,1.01900,-1.34023,-1.31544,1,0,0
-1.14302,-0.13198,-1.34023,-1.31544,1,0,0
-1.38535,0.32841,-1.39706,-1.31544,1,0,0
-1.50652,0.09822,-1.28339,-1.31544,1,0,0
-1.02185,1.24920,-1.34023,-1.31544,1,0,0
-0.53718,1.93979,-1.16971,-1.05218,1,0,0
-1.50652,0.78881,-1.34023,-1.18381,1,0,0
-1.02185,0.78881,-1.28339,-1.31544,1,0,0
-1.74886,-0.36218,-1.34023,-1.31544,1,0,0
-1.14302,0.09822,-1.28339,-1.44708,1,0,0
-0.53718,1.47940,-1.28339,-1.31544,1,0,0
-1.26418,0.78881,-1.22655,-1.31544,1,0,0
-1.26418,-0.13198,-1.34023,-1.44708,1,0,0
-1.87002,-0.13198,-1.51074,-1.44708,1,0,0
-0.05251,2.16999,-1.45390,-1.31544,1,0,0
-0.17367,3.09078,-1.28339,-1.05218,1,0,0
-0.53718,1.93979,-1.39706,-1.05218,1,0,0
-0.90068,1.01900,-1.34023,-1.18381,1,0,0
-0.17367,1.70959,-1.16971,-1.18381,1,0,0
-0.90068,1.70959,-1.28339,-1.18381,1,0,0
-0.53718,0.78881,-1.16971,-1.31544,1,0,0
-0.90068,1.47940,-1.28339,-1.05218,1,0,0
-1.50652,1.24920,-1.56758,-1.31544,1,0,0
-0.90068,0.55861,-1.16971,-0.92055,1,0,0
-1.26418,0.78881,-1.05604,-1.31544,1,0,0
-1.02185,-0.13198,-1.22655,-1.31544,1,0,0
-1.02185,0.78881,-1.22655,-1.05218,1,0,0
-0.77951,1.01900,-1.28339,-1.31544,1,0,0
-0.77951,0.78881,-1.34023,-1.31544,1,0,0
-1.38535,0.32841,-1.22655,-1.31544,1,0,0
-1.26418,0.09822,-1.22655,-1.31544,1,0,0
-0.53718,0.78881,-1.28339,-1.05218,1,0,0
-0.77951,2.40018,-1.28339,-1.44708,1,0,0
-0.41601,2.63038,-1.34023,-1.31544,1,0,0
-1.14302,0.09822,-1.28339,-1.31544,1,0,0
-1.02185,0.32841,-1.45390,-1.31544,1,0,0
-0.41601,1.01900,-1.39706,-1.31544,1,0,0
-1.14302,1.24920,-1.34023,-1.44708,1,0,0
-1.74886,-0.13198,-1.39706,-1.31544,1,0,0
-0.90068,0.78881,-1.28339,-1.31544,1,0,0
-1.02185,1.01900,-1.39706,-1.18381,1,0,0
-1.62769,-1.74336,-1.39706,-1.18381,1,0,0
-1.74886,0.32841,-1.39706,-1.31544,1,0,0
-1.02185,1.01900,-1.22655,-0.78892,1,0,0
-0.90068,1.70959,-1.05604,-1.05218,1,0,0
-1.26418,-0.13198,-1.34023,-1.18381,1,0,0
-0.90068,1.70959,-1.22655,-1.31544,1,0,0
-1.50652,0.32841,-1.34023,-1.31544,1,0,0
-0.65835,1.47940,-1.28339,-1.31544,1,0,0
-1.02185,0.55861,-1.34023,-1.31544,1,0,0
1.40151,0.32841,0.53541,0.26414,0,1,0
0.67450,0.32841,0.42173,0.39577,0,1,0
1.28034,0.09822,0.64908,0.39577,0,1,0
-0.41601,-1.74336,0.13755,0.13251,0,1,0
0.79567,-0.59237,0.47857,0.39577,0,1,0
-0.17367,-0.59237,0.42173,0.13251,0,1,0
0.55333,0.55861,0.53541,0.52741,0,1,0
-1.14302,-1.51316,-0.26032,-0.26239,0,1,0
0.91684,-0.36218,0.47857,0.13251,0,1,0
-0.77951,-0.82257,0.08071,0.26414,0,1,0
-1.02185,-2.43395,-0.14664,-0.26239,0,1,0
0.06866,-0.13198,0.25122,0.39577,0,1,0
0.18983,-1.97355,0.13755,-0.26239,0,1,0
0.31100,-0.36218,0.53541,0.26414,0,1,0
-0.29484,-0.36218,-0.08980,0.13251,0,1,0
1.03800,0.09822,0.36490,0.26414,0,1,0
-0.29484,-0.13198,0.42173,0.39577,0,1,0
-0.05251,-0.82257,0.19438,-0.26239,0,1,0
0.43217,-1.97355,0.42173,0.39577,0,1,0
-0.29484,-1.28296,0.08071,-0.13075,0,1,0
0.06866,0.32841,0.59225,0.79067,0,1,0
0.31100,-0.59237,0.13755,0.13251,0,1,0
0.55333,-1.28296,0.64908,0.39577,0,1,0
0.31100,-0.59237,0.53541,0.00088,0,1,0
0.67450,-0.36218,0.30806,0.13251,0,1,0
0.91684,-0.13198,0.36490,0.26414,0,1,0
1.15917,-0.59237,0.59225,0.26414,0,1,0
1.03800,-0.13198,0.70592,0.65904,0,1,0
0.18983,-0.36218,0.42173,0.39577,0,1,0
-0.17367,-1.05277,-0.14664,-0.26239,0,1,0
-0.41601,-1.51316,0.02387,-0.13075,0,1,0
-0.41601,-1.51316,-0.03297,-0.26239,0,1,0
-0.05251,-0.82257,0.08071,0.00088,0,1,0
0.18983,-0.82257,0.76276,0.52741,0,1,0
-0.53718,-0.13198,0.42173,0.39577,0,1,0
0.18983,0.78881,0.42173,0.52741,0,1,0
1.03800,0.09822,0.53541,0.39577,0,1,0
0.55333,-1.74336,0.36490,0.13251,0,1,0
-0.29484,-0.13198,0.19438,0.13251,0,1,0
-0.41601,-1.28296,0.13755,0.13251,0,1,0
-0.41601,-1.05277,0.36490,0.00088,0,1,0
0.31100,-0.13198,0.47857,0.26414,0,1,0
-0.05251,-1.05277,0.13755,0.00088,0,1,0
-1.02185,-1.74336,-0.26032,-0.26239,0,1,0
-0.29484,-0.82257,0.25122,0.13251,0,1,0
-0.17367,-0.13198,0.25122,0.00088,0,1,0
-0.17367,-0.36218,0.25122,0.13251,0,1,0
0.43217,-0.36218,0.30806,0.13251,0,1,0
-0.90068,-1.28296,-0.43083,-0.13075,0,1,0
-0.17367,-0.59237,0.19438,0.13251,0,1,0
0.55333,0.55861,1.27430,1.71210,0,0,1
-0.05251,-0.82257,0.76276,0.92230,0,0,1
1.52268,-0.13198,1.21746,1.18557,0,0,1
0.55333,-0.36218,1.04695,0.79067,0,0,1
0.79567,-0.13198,1.16062,1.31720,0,0,1
2.12852,-0.13198,1.61532,1.18557,0,0,1
-1.14302,-1.28296,0.42173,0.65904,0,0,1
1.76501,-0.36218,1.44481,0.79067,0,0,1
1.03800,-1.28296,1.16062,0.79067,0,0,1
1.64384,1.24920,1.33113,1.71210,0,0,1
0.79567,0.32841,0.76276,1.05394,0,0,1
0.67450,-0.82257,0.87643,0.92230,0,0,1
1.15917,-0.13198,0.99011,1.18557,0,0,1
-0.17367,-1.28296,0.70592,1.05394,0,0,1
-0.05251,-0.59237,0.76276,1.58046,0,0,1
0.67450,0.32841,0.87643,1.44883,0,0,1
0.79567,-0.13198,0.99011,0.79067,0,0,1
2.24968,1.70959,1.67216,1.31720,0,0,1
2.24968,-1.05277,1.78583,1.44883,0,0,1
0.18983,-1.97355,0.70592,0.39577,0,0,1
1.28034,0.32841,1.10378,1.44883,0,0,1
-0.29484,-0.59237,0.64908,1.05394,0,0,1
2.24968,-0.59237,1.67216,1.05394,0,0,1
0.55333,-0.82257,0.64908,0.79067,0,0,1
1.03800,0.55861,1.10378,1.18557,0,0,1
1.64384,0.32841,1.27430,0.79067,0,0,1
0.43217,-0.59237,0.59225,0.79067,0,0,1
0.31100,-0.13198,0.64908,0.79067,0,0,1
0.67450,-0.59237,1.04695,1.18557,0,0,1
1.64384,-0.13198,1.16062,0.52741,0,0,1
1.88618,-0.59237,1.33113,0.92230,0,0,1
2.49202,1.70959,1.50164,1.05394,0,0,1
0.67450,-0.59237,1.04695,1.31720,0,0,1
0.55333,-0.59237,0.76276,0.39577,0,0,1
0.31100,-1.05277,1.04695,0.26414,0,0,1
2.24968,-0.13198,1.33113,1.44883,0,0,1
0.55333,0.78881,1.04695,1.58046,0,0,1
0.67450,0.09822,0.99011,0.79067,0,0,1
0.18983,-0.13198,0.59225,0.79067,0,0,1
1.28034,0.09822,0.93327,1.18557,0,0,1
1.03800,0.09822,1.04695,1.58046,0,0,1
1.28034,0.09822,0.76276,1.44883,0,0,1
-0.05251,-0.82257,0.76276,0.92230,0,0,1
1.15917,0.32841,1.21746,1.44883,0,0,1
1.03800,0.55861,1.10378,1.71210,0,0,1
1.03800,-0.13198,0.81960,1.44883,0,0,1
0.55333,-1.28296,0.70592,0.92230,0,0,1
0.79567,-0.13198,0.81960,1.05394,0,0,1
0.43217,0.78881,0.93327,1.44883,0,0,1
0.06866,-0.13198,0.76276,0.79067,0,0,1
